"Date","Price","Open","High","Low","Vol.","Change %"
"08/11/2020","129.24","129.24","129.24","129.24","","-0.74%"
"08/10/2020","130.21","130.21","130.21","130.21","","-0.28%"
"08/07/2020","130.58","130.58","130.58","130.58","","0.76%"
"08/06/2020","129.59","129.59","129.59","129.59","","2.03%"
"08/05/2020","127.01","127.01","127.01","127.01","","-0.90%"
"08/04/2020","128.16","128.16","128.16","128.16","","-1.12%"
"08/03/2020","129.61","129.61","129.61","129.61","","-3.62%"
"07/29/2020","134.48","134.48","134.48","134.48","","-0.24%"
"07/28/2020","134.80","134.80","134.80","134.80","","-1.87%"
"07/27/2020","137.37","137.37","137.37","137.37","","2.07%"
"07/24/2020","134.59","134.59","134.59","134.59","","1.62%"
"07/23/2020","132.44","132.44","132.44","132.44","","1.08%"
"07/22/2020","131.03","131.03","131.03","131.03","","0.18%"
"07/21/2020","130.79","130.79","130.79","130.79","","-1.08%"
"07/20/2020","132.22","132.22","132.22","132.22","","-0.02%"
"07/17/2020","132.25","132.25","132.25","132.25","","0.20%"
"07/16/2020","131.98","131.98","131.98","131.98","","0.06%"
"07/15/2020","131.90","131.90","131.90","131.90","","0.27%"
"07/14/2020","131.54","131.54","131.54","131.54","","-0.82%"
"07/13/2020","132.63","132.63","132.63","132.63","","0.19%"
"07/10/2020","132.38","132.38","132.38","132.38","","-0.10%"
"07/09/2020","132.51","132.51","132.51","132.51","","-1.41%"
"07/08/2020","134.40","134.40","134.40","134.40","","-0.55%"
"07/07/2020","135.14","135.14","135.14","135.14","","-2.07%"
"07/06/2020","137.99","137.99","137.99","137.99","","-1.13%"
"07/03/2020","139.57","139.57","139.57","139.57","","1.31%"
"07/02/2020","137.77","137.77","137.77","137.77","","0.03%"
"07/01/2020","137.73","137.73","137.73","137.73","","0.04%"
"06/30/2020","137.68","137.68","137.68","137.68","","-0.80%"
"06/29/2020","138.79","138.79","138.79","138.79","","0.75%"
"06/26/2020","137.75","137.75","137.75","137.75","","0.14%"
"06/25/2020","137.56","137.56","137.56","137.56","","-0.65%"
"06/24/2020","138.46","138.46","138.46","138.46","","-1.43%"
"06/23/2020","140.47","140.47","140.47","140.47","","-1.45%"
"06/22/2020","142.54","142.54","142.54","142.54","","-1.41%"
"06/19/2020","144.58","144.58","144.58","144.58","","-0.23%"
"06/18/2020","144.92","144.92","144.92","144.92","","0.01%"
"06/17/2020","144.90","144.90","144.90","144.90","","0.11%"
"06/16/2020","144.74","144.74","144.74","144.74","","1.04%"
"06/15/2020","143.25","143.25","143.25","143.25","","0.26%"
"06/12/2020","142.88","142.88","142.88","142.88","","0.07%"
"06/11/2020","142.78","142.78","142.78","142.78","","1.23%"
"06/10/2020","141.04","141.04","141.04","141.04","","0.69%"
"06/09/2020","140.08","140.08","140.08","140.08","","-0.47%"
"06/08/2020","140.74","140.74","140.74","140.74","","1.12%"
"06/05/2020","139.18","139.18","139.18","139.18","","-0.29%"
"06/04/2020","139.59","139.59","139.59","139.59","","0.96%"
"06/03/2020","138.26","138.26","138.26","138.26","","0.48%"
"06/02/2020","137.60","137.60","137.60","137.60","","0.34%"
"05/29/2020","137.13","137.13","137.13","137.13","","0.45%"
"05/28/2020","136.51","136.51","136.51","136.51","","-0.94%"
"05/27/2020","137.81","137.81","137.81","137.81","","-0.81%"
"05/26/2020","138.94","138.94","138.94","138.94","","-1.03%"
"05/22/2020","140.39","140.39","140.39","140.39","","1.25%"
"05/21/2020","138.66","138.66","138.66","138.66","","-0.91%"
"05/20/2020","139.94","139.94","139.94","139.94","","-0.53%"
"05/19/2020","140.68","140.68","140.68","140.68","","1.01%"
"05/18/2020","139.28","139.28","139.28","139.28","","2.92%"
"05/15/2020","135.33","135.33","135.33","135.33","","0.85%"
"05/14/2020","134.19","134.19","134.19","134.19","","-2.31%"
"05/13/2020","137.37","137.37","137.37","137.37","","-1.47%"
"05/12/2020","139.42","139.42","139.42","139.42","","-0.87%"
"05/11/2020","140.65","140.65","140.65","140.65","","-0.16%"
"05/08/2020","140.87","140.87","140.87","140.87","","-1.35%"
"05/07/2020","142.80","142.80","142.80","142.80","","-3.66%"
"05/06/2020","148.22","148.22","148.22","148.22","","1.74%"
"05/05/2020","145.69","145.69","145.69","145.69","","1.58%"
"05/04/2020","143.42","143.42","143.42","143.42","","2.67%"
"04/30/2020","139.69","139.69","139.69","139.69","","-0.37%"
"04/29/2020","140.21","140.21","140.21","140.21","","3.13%"
"04/28/2020","135.96","135.96","135.96","135.96","","0.10%"
"04/27/2020","135.82","135.82","135.82","135.82","","0.03%"
"04/24/2020","135.78","135.78","135.78","135.78","","-1.29%"
"04/23/2020","137.56","137.56","137.56","137.56","","0.36%"
"04/22/2020","137.07","137.07","137.07","137.07","","-0.85%"
"04/21/2020","138.25","138.25","138.25","138.25","","0.30%"
"04/20/2020","137.84","137.84","137.84","137.84","","1.41%"
"04/17/2020","135.93","135.93","135.93","135.93","","0.96%"
"04/16/2020","134.64","134.64","134.64","134.64","","-0.44%"
"04/15/2020","135.24","135.24","135.24","135.24","","1.24%"
"04/14/2020","133.59","133.59","133.59","133.59","","1.92%"
"04/09/2020","131.07","131.07","131.07","131.07","","0.08%"
"04/08/2020","130.96","130.96","130.96","130.96","","-1.33%"
"04/07/2020","132.72","132.72","132.72","132.72","","-2.07%"
"04/06/2020","135.52","135.52","135.52","135.52","","-2.28%"
"04/03/2020","138.68","138.68","138.68","138.68","","1.46%"
"04/02/2020","136.68","136.68","136.68","136.68","","2.57%"
"04/01/2020","133.25","133.25","133.25","133.25","","1.01%"
"03/31/2020","131.92","131.92","131.92","131.92","","1.70%"
"03/30/2020","129.72","129.72","129.72","129.72","","1.90%"
"03/27/2020","127.30","127.30","127.30","127.30","","1.77%"
"03/26/2020","125.09","125.09","125.09","125.09","","0.64%"
"03/25/2020","124.30","124.30","124.30","124.30","","-0.19%"
"03/24/2020","124.54","124.54","124.54","124.54","","-2.86%"
"03/23/2020","128.21","128.21","128.21","128.21","","-3.55%"
"03/20/2020","132.93","132.93","132.93","132.93","","0.05%"
"03/19/2020","132.86","132.86","132.86","132.86","","-0.70%"
"03/18/2020","133.79","133.79","133.79","133.79","","0.18%"
"03/17/2020","133.55","133.55","133.55","133.55","","1.30%"
"03/16/2020","131.84","131.84","131.84","131.84","","-1.36%"
"03/13/2020","133.66","133.66","133.66","133.66","","-5.51%"
"03/12/2020","141.46","141.46","141.46","141.46","","-5.17%"
"03/11/2020","149.17","149.17","149.17","149.17","","0.34%"
"03/10/2020","148.67","148.67","148.67","148.67","","0.47%"
"03/09/2020","147.98","147.98","147.98","147.98","","-5.24%"
"03/06/2020","156.17","156.17","156.17","156.17","","-0.27%"
"03/05/2020","156.60","156.60","156.60","156.60","","1.25%"
"03/04/2020","154.66","154.66","154.66","154.66","","1.02%"
"03/03/2020","153.10","153.10","153.10","153.10","","1.94%"
"03/02/2020","150.19","150.19","150.19","150.19","","1.07%"
"02/28/2020","148.60","148.60","148.60","148.60","","-1.91%"
"02/27/2020","151.49","151.49","151.49","151.49","","-0.61%"
"02/26/2020","152.42","152.42","152.42","152.42","","-2.92%"
"02/25/2020","157.01","157.01","157.01","157.01","","-0.87%"
"02/24/2020","158.39","158.39","158.39","158.39","","0.01%"
"02/21/2020","158.38","158.38","158.38","158.38","","-0.31%"
"02/20/2020","158.87","158.87","158.87","158.87","","-0.30%"
"02/19/2020","159.35","159.35","159.35","159.35","","-0.94%"
"02/18/2020","160.87","160.87","160.87","160.87","","-0.76%"
"02/17/2020","162.11","162.11","162.11","162.11","","-0.16%"
"02/14/2020","162.37","162.37","162.37","162.37","","-1.09%"
"02/13/2020","164.16","164.16","164.16","164.16","","-1.68%"
"02/12/2020","166.96","166.96","166.96","166.96","","-0.45%"
"02/10/2020","167.71","167.71","167.71","167.71","","-0.56%"
"02/07/2020","168.65","168.65","168.65","168.65","","-0.41%"
"02/06/2020","169.35","169.35","169.35","169.35","","2.22%"
"02/05/2020","165.67","165.67","165.67","165.67","","1.36%"
"02/04/2020","163.45","163.45","163.45","163.45","","0.23%"
"02/03/2020","163.08","163.08","163.08","163.08","","0.61%"
"01/31/2020","162.09","162.09","162.09","162.09","","-0.15%"
"01/30/2020","162.33","162.33","162.33","162.33","","0.69%"
"01/29/2020","161.21","161.21","161.21","161.21","","-0.07%"
"01/28/2020","161.32","161.32","161.32","161.32","","-1.19%"
"01/27/2020","163.26","163.26","163.26","163.26","","-1.04%"
"01/24/2020","164.98","164.98","164.98","164.98","","-0.33%"
"01/23/2020","165.53","165.53","165.53","165.53","","0.13%"
"01/22/2020","165.32","165.32","165.32","165.32","","-0.39%"
"01/21/2020","165.96","165.96","165.96","165.96","","-0.23%"
"01/20/2020","166.34","166.34","166.34","166.34","","0.07%"
"01/17/2020","166.23","166.23","166.23","166.23","","-0.59%"
"01/16/2020","167.21","167.21","167.21","167.21","","-0.10%"
"01/15/2020","167.38","167.38","167.38","167.38","","-1.72%"
"01/14/2020","170.31","170.31","170.31","170.31","","-0.45%"
"01/13/2020","171.08","171.08","171.08","171.08","","-0.16%"
"01/10/2020","171.36","171.36","171.36","171.36","","0.24%"
"01/09/2020","170.95","170.95","170.95","170.95","","2.16%"
"01/08/2020","167.33","167.33","167.33","167.33","","0.41%"
"01/07/2020","166.65","166.65","166.65","166.65","","-0.21%"
"01/06/2020","167.00","167.00","167.00","167.00","","-0.22%"
"01/03/2020","167.37","167.37","167.37","167.37","","0.84%"
"01/02/2020","165.98","165.98","165.98","165.98","","-0.26%"
"12/31/2019","166.41","166.41","166.41","166.41","","0.63%"
"12/30/2019","165.37","165.37","165.37","165.37","","-0.02%"
"12/27/2019","165.41","165.41","165.41","165.41","","0.18%"
"12/23/2019","165.12","165.12","165.12","165.12","","2.62%"
"12/20/2019","160.90","160.90","160.90","160.90","","-1.06%"
"12/19/2019","162.62","162.62","162.62","162.62","","1.30%"
"12/18/2019","160.53","160.53","160.53","160.53","","0.39%"
"12/17/2019","159.91","159.91","159.91","159.91","","0.21%"
"12/16/2019","159.57","159.57","159.57","159.57","","-0.59%"
"12/13/2019","160.52","160.52","160.52","160.52","","-0.05%"
"12/11/2019","160.60","160.60","160.60","160.60","","0.28%"
"12/10/2019","160.15","160.15","160.15","160.15","","0.10%"
"12/09/2019","159.99","159.99","159.99","159.99","","-0.19%"
"12/06/2019","160.29","160.29","160.29","160.29","","0.87%"
"12/05/2019","158.91","158.91","158.91","158.91","","0.13%"
"12/04/2019","158.70","158.70","158.70","158.70","","-0.13%"
"12/03/2019","158.90","158.90","158.90","158.90","","0.28%"
"12/02/2019","158.46","158.46","158.46","158.46","","0.34%"
"11/29/2019","157.93","157.93","157.93","157.93","","0.87%"
"11/28/2019","156.57","156.57","156.57","156.57","","0.44%"
"11/27/2019","155.89","155.89","155.89","155.89","","0.27%"
"11/26/2019","155.47","155.47","155.47","155.47","","-0.24%"
"11/25/2019","155.85","155.85","155.85","155.85","","0.65%"
"11/22/2019","154.84","154.84","154.84","154.84","","-0.10%"
"11/21/2019","155.00","155.00","155.00","155.00","","-0.19%"
"11/20/2019","155.30","155.30","155.30","155.30","","-0.05%"
"11/19/2019","155.37","155.37","155.37","155.37","","-0.07%"
"11/18/2019","155.48","155.48","155.48","155.48","","-0.32%"
"11/15/2019","155.98","155.98","155.98","155.98","","-1.80%"
"11/14/2019","158.84","158.84","158.84","158.84","","1.00%"
"11/13/2019","157.27","157.27","157.27","157.27","","0.16%"
"11/12/2019","157.02","157.02","157.02","157.02","","-1.22%"
"11/11/2019","158.96","158.96","158.96","158.96","","-1.26%"
"11/08/2019","160.99","160.99","160.99","160.99","","-2.77%"
"11/07/2019","165.57","165.57","165.57","165.57","","0.35%"
"11/06/2019","164.99","164.99","164.99","164.99","","1.39%"
"11/05/2019","162.73","162.73","162.73","162.73","","-0.26%"
"11/04/2019","163.16","163.16","163.16","163.16","","-0.72%"
"11/01/2019","164.35","164.35","164.35","164.35","","3.01%"
"10/31/2019","159.55","159.55","159.55","159.55","","2.78%"
"10/30/2019","155.23","155.23","155.23","155.23","","2.35%"
"10/29/2019","151.67","151.67","151.67","151.67","","2.42%"
"10/28/2019","148.08","148.08","148.08","148.08","","-1.33%"
"10/25/2019","150.07","150.07","150.07","150.07","","0.00%"
"10/24/2019","150.07","150.07","150.07","150.07","","0.41%"
"10/23/2019","149.46","149.46","149.46","149.46","","0.09%"
"10/22/2019","149.32","149.32","149.32","149.32","","0.65%"
"10/18/2019","148.36","148.36","148.36","148.36","","0.05%"
"10/17/2019","148.28","148.28","148.28","148.28","","1.50%"
"10/16/2019","146.09","146.09","146.09","146.09","","-0.03%"
"10/15/2019","146.13","146.13","146.13","146.13","","-0.19%"
"10/14/2019","146.41","146.41","146.41","146.41","","-0.83%"
"10/11/2019","147.64","147.64","147.64","147.64","","0.46%"
"10/09/2019","146.96","146.96","146.96","146.96","","0.22%"
"10/08/2019","146.64","146.64","146.64","146.64","","0.37%"
"10/07/2019","146.10","146.10","146.10","146.10","","-0.77%"
"10/04/2019","147.23","147.23","147.23","147.23","","-0.20%"
"10/03/2019","147.53","147.53","147.53","147.53","","0.87%"
"10/02/2019","146.26","146.26","146.26","146.26","","0.55%"
"09/30/2019","145.46","145.46","145.46","145.46","","0.82%"
"09/27/2019","144.27","144.27","144.27","144.27","","-0.16%"
"09/26/2019","144.50","144.50","144.50","144.50","","-0.82%"
"09/25/2019","145.70","145.70","145.70","145.70","","-0.01%"
"09/24/2019","145.72","145.72","145.72","145.72","","0.29%"
"09/23/2019","145.30","145.30","145.30","145.30","","0.22%"
"09/20/2019","144.98","144.98","144.98","144.98","","0.53%"
"09/19/2019","144.22","144.22","144.22","144.22","","-0.06%"
"09/18/2019","144.30","144.30","144.30","144.30","","0.29%"
"09/17/2019","143.88","143.88","143.88","143.88","","-0.23%"
"09/16/2019","144.21","144.21","144.21","144.21","","0.28%"
"09/13/2019","143.81","143.81","143.81","143.81","","-0.12%"
"09/12/2019","143.98","143.98","143.98","143.98","","0.36%"
"09/11/2019","143.47","143.47","143.47","143.47","","0.30%"
"09/10/2019","143.04","143.04","143.04","143.04","","0.16%"
"09/09/2019","142.81","142.81","142.81","142.81","","0.20%"
"09/06/2019","142.52","142.52","142.52","142.52","","-0.66%"
"09/05/2019","143.46","143.46","143.46","143.46","","0.21%"
"09/04/2019","143.16","143.16","143.16","143.16","","0.68%"
"09/03/2019","142.19","142.19","142.19","142.19","","-3.27%"
"09/02/2019","147.00","147.00","147.00","147.00","","-0.39%"
"08/30/2019","147.58","147.58","147.58","147.58","","-0.30%"
"08/29/2019","148.03","148.03","148.03","148.03","","0.35%"
"08/28/2019","147.52","147.52","147.52","147.52","","-0.41%"
"08/27/2019","148.13","148.13","148.13","148.13","","-0.04%"
"08/26/2019","148.19","148.19","148.19","148.19","","-1.12%"
"08/23/2019","149.87","149.87","149.87","149.87","","-0.28%"
"08/22/2019","150.29","150.29","150.29","150.29","","-0.18%"
"08/21/2019","150.56","150.56","150.56","150.56","","-0.38%"
"08/20/2019","151.14","151.14","151.14","151.14","","-0.51%"
"08/19/2019","151.92","151.92","151.92","151.92","","0.34%"
"08/16/2019","151.40","151.40","151.40","151.40","","1.11%"
"08/15/2019","149.74","149.74","149.74","149.74","","0.75%"
"08/14/2019","148.62","148.62","148.62","148.62","","0.02%"
"08/13/2019","148.59","148.59","148.59","148.59","","0.36%"
"08/09/2019","148.05","148.05","148.05","148.05","","0.59%"
"08/08/2019","147.18","147.18","147.18","147.18","","0.30%"
"08/07/2019","146.74","146.74","146.74","146.74","","-0.39%"
"08/06/2019","147.31","147.31","147.31","147.31","","-0.53%"
"08/05/2019","148.10","148.10","148.10","148.10","","-0.16%"
"08/02/2019","148.33","148.33","148.33","148.33","","0.02%"
"08/01/2019","148.30","148.30","148.30","148.30","","0.03%"
"07/31/2019","148.25","148.25","148.25","148.25","","-0.13%"
"07/30/2019","148.44","148.44","148.44","148.44","","-0.39%"
"07/29/2019","149.02","149.02","149.02","149.02","","0.01%"
"07/26/2019","149.00","149.00","149.00","149.00","","0.13%"
