date,value
1995-03-28,626.5500
1995-03-29,637.1500
1995-03-30,630.9300
1995-03-31,646.9200
1995-04-03,656.8800
1995-04-04,660.1600
1995-04-05,649.7000
1995-04-06,659.0600
1995-04-07,673.7200
1995-04-10,667.3900
1995-04-11,641.0800
1995-04-12,644.7400
1995-04-13,632.7600
1995-04-14,640.0400
1995-04-17,631.2600
1995-04-18,625.5200
1995-04-19,631.5100
1995-04-20,645.2000
1995-04-21,635.9900
1995-04-24,619.7300
1995-04-25,619.8400
1995-04-26,601.8300
1995-04-27,573.3100
1995-04-28,579.9300
1995-05-01,579.9300
1995-05-02,579.0400
1995-05-03,580.3800
1995-05-04,571.2000
1995-05-05,574.1700
1995-05-08,571.5100
1995-05-09,578.5000
1995-05-10,565.1400
1995-05-11,568.0600
1995-05-12,584.8400
1995-05-15,582.0400
1995-05-16,578.8500
1995-05-17,582.8900
1995-05-18,763.5100
1995-05-19,855.8100
1995-05-22,897.4200
1995-05-23,750.3000
1995-05-24,741.9300
1995-05-25,696.8500
1995-05-26,727.6200
1995-05-29,710.5900
1995-05-30,711.0000
1995-05-31,700.5100
1995-06-01,708.6700
1995-06-02,716.8200
